year,id1,name,ip,w,l,sv,k,era,fip,hr,pWar
2023,20,BB Pfaff,6.2,0,1,0,3,18.06,13.04,4,0.2
2023,15,Brock Deist,4,0,0,1,1,15.75,14.87,3,0.0
2023,35,Charles Eckert,1,0,0,0,1,21.00,16.62,1,0.0
2023,14,Ethan Schickert,5,1,0,0,5,5.60,12.02,3,0.2
2023,13,Garry Bob,3,2,0,0,1,21.00,30.95,6,-0.6
2023,10,Hoag Braun,16.1,0,2,1,8,16.52,10.27,7,1.1
2023,45,Kaleb Baker,4,1,0,1,1,1.75,5.12,0,0.5
2023,28,P Brain,8,0,3,0,6,13.13,10.62,4,0.5
2023,12,Pesky Zub,22.1,1,1,0,7,12.67,13.22,14,0.7
2023,44,Rhino Meyer,20.2,2,1,0,11,9.01,11.61,11,1.1
2023,7,Ryan Rigatoni,1,0,0,0,1,14.00,16.62,1,0.0
2023,1,Sven Goose,35.1,4,3,0,15,13.16,13.65,24,1.0
