game_id,tourney_id,round,team1,team2,team1score,team2score
1,1,Championship,Moon Baboons,Buds Wood,5,4
2,2,Round Robin,Goobies Mum,Rat Girl Minions,3,1
3,2,Round Robin,Squid Niqs,Moon Baboons,5,1
4,2,Round Robin,Squid Niqs,Rat Girl Minions,3,1
5,2,Round Robin,Buds Wood,Goobies Mum,2,3
6,2,Round Robin,Buds Wood,Squid Niqs,0,2
7,2,Round Robin,Moon Baboons,Rat Girl Minions,0,1
8,2,Round Robin,Buds Wood,Moon Baboons,3,2
9,2,Round Robin,Goobies Mum,Squid Niqs,1,2
10,2,Round Robin,Goobies Mum,Moon Baboons,3,1
11,2,Round Robin,Buds Wood,Rat Girl Minions,4,1
12,2,Play-In,Moon Baboons,Rat Girl Minions,2,1
13,2,Round 1,Goobies Mum,Buds Wood,2,0
14,2,Round 1,Squid Niqs,Moon Baboons,1,0
15,2,Third Place,Buds Wood,Moon Baboons,1,0
16,2,Championship,Squid Niqs,Goobies Mum,2,0
17,3,Round Robin,Goobies Mum,Squid Niqs,5,3
18,3,Round Robin,Squid Niqs,Buds Wood,5,1
19,3,Round Robin,Buds Wood,Goobies Mum,5,4
20,3,Round Robin,Squid Niqs,Goobies Mum,4,3
21,3,Round Robin,Buds Wood,Squid Niqs,5,3
22,3,Round Robin,Buds Wood,Goobies Mum,5,4
23,3,Semi-Final,Goobies Mum,Squid Niqs,3,2
24,3,Championship,Buds Wood,Goobies Mum,1,5
25,4,Round Robin,Squid Niqs,Moon Baboons,9,12
26,4,Round Robin,Goobies Mum,Rat Girl Minions,12,9
27,4,Round Robin,Squid Niqs,Rat Girl Minions,13,7
28,4,Round Robin,Goobies Mum,Squid Niqs,5,7
29,4,Round Robin,Moon Baboons,Goobies Mum,8,9
30,4,Round Robin,Rat Girl Minions,Moon Baboons,8,9
31,4,Semi-Final,Goobies Mum,Squid Niqs,19,7
32,4,Semi-Final,Rat Girl Minions,Moon Baboons,5,10
33,4,Championship,Moon Baboons,Goobies Mum,15,18
34,6,Round Robin,Deer Hunters,Buds Wood,1,2
35,6,Round Robin,Squid Niqs,Goobies Mum,4,2
36,6,Round Robin,Buds Wood,Squid Niqs,3,1
37,6,Round Robin,Hellmo Vitamins,Deer Hunters,3,2
38,6,Round Robin,Squid Niqs,Hellmo Vitamins,5,1
39,6,Round Robin,Goobies Mum,Buds Wood,5,1
40,6,Round Robin,Hellmo Vitamins,Goobies Mum,1,3
41,6,Round Robin,Deer Hunters,Squid Niqs,2,5
42,6,Round Robin,Goobies Mum,Deer Hunters,1,2
43,6,Round Robin,Buds Wood,Hellmo Vitamins,5,3
44,6,Play-In,Hellmo Vitamins,Deer Hunters,0,3
45,6,Round 1,Goobies Mum,Buds Wood,1,3
46,6,Round 1,Deer Hunters,Squid Niqs,1,2
47,6,Championship,Buds Wood,Squid Niqs,3,5
48,7,Round Robin,Goobies Mum,Goobies Cudas,4,5
49,7,Round Robin,Squid Niqs,Rat Girl Minions,5,0
50,7,Round Robin,Goobies Mum,Squid Niqs,4,1
51,7,Round Robin,Moon Baboons,Goobies Cudas,2,3
52,7,Round Robin,Goobies Mum,Moon Baboons,3,2
53,7,Round Robin,Rat Girl Minions,Goobies Cudas,3,5
54,7,Round Robin,Rat Girl Minions,Moon Baboons,4,3
55,7,Round Robin,Goobies Cudas,Squid Niqs,5,4
56,7,Round Robin,Goobies Mum,Rat Girl Minions,4,5
57,7,Round Robin,Squid Niqs,Moon Baboons,4,5
58,7,Play-In,Moon Baboons,Rat Girl Minions,4,5
59,7,Round 1,Goobies Mum,Squid Niqs,4,3
60,7,Round 1,Rat Girl Minions,Goobies Cudas,3,5
61,7,Championship,Goobies Mum,Goobies Cudas,4,3
62,8,Round Robin,Rat Girl Minions,Squid Niqs,2,1
63,8,Round Robin,Goobies Mum,Moon Baboons,6,7
64,8,Round Robin,Goobies Mum,Rat Girl Minions,9,2
65,8,Round Robin,Squid Niqs,Moon Baboons,10,5
66,8,Round Robin,Moon Baboons,Rat Girl Minions,6,10
67,8,Round Robin,Squid Niqs,Goobies Mum,5,1
68,8,Championship,Squid Niqs,Goobies Mum,15,10
69,10,Round Robin,Goobies Mum,Goobies Cudas,4,5
70,10,Round Robin,Buds Wood,Rat Girl Minions,3,4
71,10,Round Robin,Squid Niqs,Deer Hunters,5,0
72,10,Round Robin,Buds Wood,Goobies Cudas,3,2
73,10,Round Robin,Rat Girl Minions,Deer Hunters,3,5
74,10,Round Robin,Goobies Mum,Rat Girl Minions,3,2
75,10,Round Robin,Buds Wood,Deer Hunters,1,2
76,10,Round Robin,Squid Niqs,Goobies Cudas,5,4
77,10,Round Robin,Goobies Mum,Buds Wood,2,4
78,10,Round Robin,Squid Niqs,Rat Girl Minions,5,2
79,10,Round Robin,Goobies Cudas,Deer Hunters,3,4
80,10,Round 1,Goobies Mum,Squid Niqs,4,5
81,10,Round 1,Rat Girl Minions,Deer Hunters,2,5
82,10,Round 1,Goobies Cudas,Buds Wood,5,3
83,10,Championship,Squid Niqs,Goobies Cudas,5,1
84,11,Round Robin,Rat Girl Minions,Moon Baboons,1,3
85,11,Round Robin,Goobies Mum,Rat Girl Minions,10,7
86,11,Round Robin,Moon Baboons,Goobies Mum,9,12
87,11,Play-In,Moon Baboons,Rat Girl Minions,6,1
88,11,Championship,Goobies Mum,Moon Baboons,12,9
89,13,Round Robin,Goobies Mum,Moon Baboons,11,7
90,13,Round Robin,Goobies Mum,Squid Niqs,12,11
91,13,Round Robin,Squid Niqs,Moon Baboons,8,15
92,13,Championship,Squid Niqs,Goobies Mum,9,7
93,15,Round Robin,Rat Girl Minions,Goobies Mum,5,2
94,15,Round Robin,Goobies Mum,Buds Wood,4,3
95,15,Round Robin,Buds Wood,Rat Girl Minions,3,5
96,15,Round Robin,Goobies Mum,Rat Girl Minions,5,4
97,15,Round Robin,Buds Wood,Goobies Mum,5,4
98,15,Round Robin,Rat Girl Minions,Buds Wood,4,5
99,15,Play-In,Buds Wood,Goobies Mum,3,1
100,15,Championship,Rat Girl Minions,Buds Wood,5,3
